Movie Title,Release Year,Duration,Rating,IMDb Rating,IMDb Votes
171. The Bridge on the River Kwai,1957,2h 41m,PG,8.1 (231K), (231K)
172. Gojira -1.0,2023,2h 4m,PG-13,8.4 (33K), (33K)
173. Fargo,1996,1h 38m,R,8.1 (714K), (714K)
174. Warrior,2011,2h 20m,PG-13,8.1 (492K), (492K)
175. Klaus,2019,1h 36m,PG,8.2 (184K), (184K)
176. Catch Me If You Can,2002,2h 21m,PG-13,8.1 (1.1M), (1.1M)
177. Gran Torino,2008,1h 56m,R,8.1 (806K), (806K)
178. Tonari no Totoro,1988,1h 26m,G,8.1 (370K), (370K)
179. Million Dollar Baby,2004,2h 12m,PG-13,8.1 (714K), (714K)
180. Harry Potter and the Deathly Hallows - Part 2,2011,2h 10m,PG-13,8.1 (932K), (932K)
181. Bacheha-Ye aseman,1997,1h 29m,PG,8.2 (79K), (79K)
182. Blade Runner,1982,1h 57m,R,8.1 (811K), (811K)
183. 12 Years a Slave,2013,2h 14m,R,8.1 (733K), (733K)
184. Before Sunrise,1995,1h 41m,R,8.1 (333K), (333K)
185. The Grand Budapest Hotel,2014,1h 39m,R,8.1 (871K), (871K)
186. Ben-Hur,1959,3h 32m,G,8.1 (250K), (250K)
187. Barry Lyndon,1975,3h 5m,PG,8.1 (180K), (180K)
188. Gone Girl,2014,2h 29m,R,8.1 (1M), (1M)
189. The Gold Rush,1925,1h 35m,Passed,8.1 (117K), (117K)
190. Hacksaw Ridge,2016,2h 19m,R,8.1 (580K), (580K)
191. In the Name of the Father,1993,2h 13m,R,8.1 (185K), (185K)
192. Salinui chueok,2003,2h 11m,Not Rated,8.1 (209K), (209K)
193. On the Waterfront,1954,1h 48m,Approved,8.1 (162K), (162K)
194. The General,1926,1h 18m,Passed,8.1 (97K), (97K)
195. The Deer Hunter,1978,3h 3m,R,8.1 (357K), (357K)
196. Relatos salvajes,2014,2h 2m,R,8.1 (213K), (213K)
197. Dead Poets Society,1989,2h 8m,PG,8.1 (533K), (533K)
198. Smultronstället,1957,1h 31m,Not Rated,8.1 (113K), (113K)
199. Mad Max: Fury Road,2015,2h,R,8.1 (1.1M), (1.1M)
200. The Third Man,1949,1h 44m,Approved,8.1 (180K), (180K)
201. Le salaire de la peur,1953,2h 11m,Not Rated,8.2 (65K), (65K)
202. Sherlock Jr.,1924,45m,Passed,8.2 (55K), (55K)
"203. Monsters, Inc.",2001,1h 32m,G,8.1 (963K), (963K)
204. Jaws,1975,2h 4m,PG,8.1 (649K), (649K)
205. Mr. Smith Goes to Washington,1939,2h 9m,Passed,8.1 (120K), (120K)
206. How to Train Your Dragon,2010,1h 38m,PG,8.1 (786K), (786K)
207. Mary and Max.,2009,1h 32m,Not Rated,8.1 (185K), (185K)
208. Ford v Ferrari,2019,2h 32m,PG-13,8.1 (450K), (450K)
209. Det sjunde inseglet,1957,1h 36m,Not Rated,8.1 (196K), (196K)
210. Ratatouille,2007,1h 51m,G,8.1 (804K), (804K)
211. Room,2015,1h 58m,R,8.1 (444K), (444K)
212. The Big Lebowski,1998,1h 57m,R,8.1 (849K), (849K)
213. Tôkyô monogatari,1953,2h 16m,Not Rated,8.1 (67K), (67K)
214. Rocky,1976,2h,PG,8.1 (618K), (618K)
215. Hotel Rwanda,2004,2h 1m,PG-13,8.1 (369K), (369K)
216. Logan,2017,2h 17m,R,8.1 (816K), (816K)
217. Spotlight,2015,2h 9m,R,8.1 (495K), (495K)
218. Platoon,1986,2h,R,8.1 (433K), (433K)
219. La passion de Jeanne d'Arc,1928,1h 50m,Passed,8.1 (59K), (59K)
220. The Terminator,1984,1h 47m,R,8.1 (911K), (911K)
221. Before Sunset,2004,1h 20m,R,8.1 (283K), (283K)
222. Jai Bhim,2021,2h 44m,TV-MA,8.7 (214K), (214K)
223. Rush,2013,2h 3m,R,8.1 (506K), (506K)
224. The Best Years of Our Lives,1946,2h 50m,Approved,8.1 (69K), (69K)
225. Network,1976,2h 1m,R,8.1 (168K), (168K)
226. The Exorcist,1973,2h 2m,R,8.1 (448K), (448K)
227. La haine,1995,1h 38m,Not Rated,8.1 (191K), (191K)
228. Stand by Me,1986,1h 29m,R,8.1 (434K), (434K)
229. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1 (1.2M), (1.2M)
230. The Wizard of Oz,1939,1h 42m,G,8.1 (423K), (423K)
231. The Incredibles,2004,1h 55m,PG,8.0 (793K), (793K)
232. Into the Wild,2007,2h 28m,R,8.1 (650K), (650K)
233. To Be or Not to Be,1942,1h 39m,Passed,8.2 (42K), (42K)
234. Hachi: A Dog's Tale,2009,1h 33m,G,8.1 (306K), (306K)
235. Ah-ga-ssi,2016,2h 25m,Not Rated,8.1 (167K), (167K)
236. Babam ve Oglum,2005,1h 52m,Not Rated,8.2 (91K), (91K)
237. The Grapes of Wrath,1940,2h 9m,Passed,8.1 (99K), (99K)
238. La battaglia di Algeri,1966,2h 1m,Not Rated,8.1 (65K), (65K)
239. Groundhog Day,1993,1h 41m,PG,8.0 (672K), (672K)
240. The Sound of Music,1965,2h 52m,G,8.1 (255K), (255K)
241. Amores perros,2000,2h 34m,R,8.1 (251K), (251K)
242. Rebecca,1940,2h 10m,Approved,8.1 (145K), (145K)
243. Cool Hand Luke,1967,2h 7m,GP,8.1 (186K), (186K)
244. The Iron Giant,1999,1h 26m,PG,8.1 (221K), (221K)
245. The Help,2011,2h 26m,PG-13,8.1 (485K), (485K)
246. It Happened One Night,1934,1h 45m,Passed,8.1 (111K), (111K)
247. Pather Panchali,1955,2h 5m,Not Rated,8.2 (38K), (38K)
248. Les quatre cents coups,1959,1h 39m,Not Rated,8.1 (126K), (126K)
249. Aladdin,1992,1h 30m,G,8.0 (457K), (457K)
250. Dances with Wolves,1990,3h 1m,PG-13,8.0 (286K), (286K)
